SetID,WorkoutExerciseID,SetNumber,Repetitions,Weight,RIR
1,1,1,8,22.0,2
2,1,2,8,22.0,2
3,1,3,8,22.0,2
4,1,4,8,22.0,2
5,2,1,9,25.0,2
6,2,2,10,23.0,2
7,2,3,10,23.0,2
8,3,1,7,0.0,2
9,3,2,7,0.0,2
10,3,3,7,0.0,2
11,4,1,8,0.0,2
12,4,2,7,0.0,2
13,4,3,6,0.0,2
14,4,4,7,0.0,2
15,5,1,8,32.0,2
16,5,2,8,32.0,2
17,5,3,8,32.0,2
18,6,1,14,28.5,2
19,6,2,12,28.5,2
20,6,3,14,28.5,2
21,7,1,12,10.0,2
22,7,2,12,10.0,2
23,7,3,12,10.0,2
24,8,1,10,29.0,2
25,8,2,10,29.0,2
26,8,3,8,29.0,2
27,9,1,12,29.0,2
28,9,2,10,32.0,2
29,9,3,8,33.0,2
30,10,1,10,110.0,2
31,10,2,10,120.0,2
32,10,3,10,130.0,2
33,10,4,10,140.0,2
34,11,1,8,100.0,2
35,11,2,8,100.0,2
36,11,3,8,100.0,2
37,11,4,8,100.0,2
38,12,1,10,80.0,2
39,12,2,10,80.0,2
40,12,3,10,80.0,2
41,13,1,8,20.0,2
42,13,2,8,20.0,2
43,14,1,12,75.0,2
44,14,2,12,75.0,2
45,14,3,15,75.0,2
46,15,1,8,65.0,2
47,15,2,8,65.0,2
48,15,3,8,65.0,2
49,15,4,8,65.0,2
50,16,1,10,60.0,2
51,16,2,10,60.0,2
52,16,3,10,60.0,2
53,17,1,9,32.0,2
54,17,2,10,32.0,2
55,17,3,9,32.0,2
56,18,1,10,70.0,2
57,18,2,12,70.0,2
58,18,3,10,70.0,2
59,19,1,12,24.0,2
60,19,2,12,24.0,2
61,19,3,12,24.0,2
62,20,1,12,30.0,2
63,20,2,12,30.0,2
64,20,3,12,30.0,2
68,22,1,10,30.0,2
69,22,2,10,30.0,2
70,22,3,10,30.0,2
74,24,1,8,30.0,2
75,24,2,8,30.0,2
76,24,3,7,30.0,2
77,25,1,9,60.0,2
78,25,2,8,60.0,2
79,25,3,8,60.0,2
80,25,4,8,60.0,2
81,26,1,8,60.0,2
82,26,2,9,60.0,2
83,26,3,10,60.0,2
84,27,1,12,25.0,2
85,27,2,9,30.0,2
86,27,3,8,30.0,2
87,28,1,8,65.0,2
88,28,2,8,65.0,2
89,28,3,8,65.0,2
90,28,4,8,65.0,2
91,29,1,8,80.0,2
92,29,2,8,80.0,2
93,29,3,9,80.0,2
94,30,1,10,20.0,2
95,30,2,10,20.0,2
96,30,3,10,20.0,2
97,31,1,8,30.0,2
98,31,2,8,30.0,2
99,31,3,8,30.0,2
100,32,1,10,140.0,2
101,32,2,9,140.0,2
102,32,3,10,140.0,2
103,32,4,8,140.0,2
104,33,1,14,75.0,2
105,33,2,13,75.0,2
106,33,3,12,75.0,2
107,33,4,12,75.0,2
108,34,1,8,110.0,2
109,34,2,8,110.0,2
110,34,3,8,110.0,2
111,35,1,8,70.0,2
112,35,2,8,70.0,2
113,35,3,8,70.0,2
114,35,4,7,70.0,2
115,36,1,10,70.0,2
116,36,2,10,70.0,2
117,36,3,12,70.0,2
118,37,1,8,32.0,2
119,37,2,8,32.0,2
120,37,3,8,32.0,2
121,38,1,10,70.0,2
122,38,2,10,70.0,2
123,38,3,10,70.0,2
124,39,1,12,24.0,2
125,39,2,12,24.0,2
126,39,3,12,24.0,2
127,40,1,10,35.0,2
128,40,2,8,35.0,2
129,40,3,10,35.0,2
130,41,1,12,7.5,2
131,41,2,10,12.5,2
132,42,1,8,30.0,2
133,42,2,8,30.0,2
134,42,3,8,30.0,2
135,43,1,10,30.0,2
136,43,2,10,30.0,2
137,43,3,12,30.0,2
138,44,1,10,60.0,2
139,44,2,12,60.0,2
140,44,3,9,65.0,2
150,48,1,9,22.0,2
151,48,2,9,22.0,2
152,48,3,9,22.0,2
153,48,4,10,22.0,2
154,49,1,10,25.0,2
155,49,2,10,25.0,2
156,49,3,11,25.0,2
157,50,1,7,85.4,2
158,50,2,6,85.4,2
159,50,3,6,85.4,2
160,50,4,6,85.4,2
161,51,1,10,32.0,2
162,51,2,10,32.0,2
163,51,3,10,32.0,2
164,52,1,12,30.0,2
165,52,2,12,30.0,2
166,52,3,12,30.0,2
167,53,1,10,12.0,2
168,53,2,10,12.0,2
169,53,3,10,12.0,2
170,54,1,12,30.0,2
171,54,2,8,35.0,2
172,54,3,8,35.0,2
173,55,1,12,30.0,2
174,55,2,10,35.0,2
175,55,3,10,35.0,2
176,56,1,9,110.0,2
177,56,2,9,110.0,2
178,56,3,9,110.0,2
179,56,4,9,110.0,2
180,57,1,9,100.0,2
181,57,2,9,100.0,2
182,57,3,9,100.0,2
183,57,4,9,100.0,2
184,58,1,11,80.0,2
185,58,2,11,80.0,2
186,58,3,11,80.0,2
187,59,1,15,75.0,2
188,59,2,15,75.0,2
189,59,3,15,75.0,2
190,60,1,9,70.0,2
191,60,2,9,70.0,2
192,60,3,9,70.0,2
193,60,4,9,70.0,2
194,61,1,11,70.0,2
195,61,2,11,70.0,2
196,61,3,11,70.0,2
197,62,1,12,28.0,2
198,62,2,12,28.0,2
199,62,3,12,28.0,2
200,63,1,11,70.0,2
201,63,2,11,70.0,2
202,63,3,11,70.0,2
203,64,1,15,24.0,2
204,64,2,15,24.0,2
205,64,3,15,24.0,2
206,65,1,12,35.0,2
207,65,2,12,35.0,2
208,65,3,12,35.0,2
209,66,1,12,30.0,2
210,66,2,12,30.0,2
211,66,3,11,30.0,2
212,67,1,9,30.0,2
213,67,2,8,30.0,2
214,67,3,7,30.0,2
215,68,1,11,30.0,2
216,68,2,11,30.0,2
217,68,3,11,30.0,2
218,69,1,9,60.0,2
219,69,2,9,60.0,2
220,69,3,9,60.0,2
221,69,4,9,60.0,2
222,70,1,12,55.0,2
223,70,2,12,55.0,2
224,70,3,12,55.0,2
225,71,1,11,30.0,2
226,71,2,11,30.0,2
